customer_id,last_purchase,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_score,segment
12346,2010-06-28 13:53:00,11,372.86,165,2,5,2,2-5-2,About to Sleep
12347,2010-12-07 14:57:00,2,1289.75,3,5,2,4,5-2-4,Potential Loyalists
12348,2010-09-27 14:59:00,1,219.64,74,2,1,2,2-1-2,Hibernating
12349,2010-10-28 08:23:00,3,2041.1,43,3,3,5,3-3-5,Potential Loyalists
12351,2010-11-29 15:23:00,1,293.05,11,5,1,2,5-1-2,Recent Customers
12352,2010-11-29 10:07:00,2,338.45,11,5,2,2,5-2-2,Potential Loyalists
12353,2010-10-27 12:44:00,1,317.76,44,3,1,2,3-1-2,Promising
12355,2010-05-21 11:59:00,1,466.96,203,1,1,3,1-1-3,Lost
12356,2010-11-24 12:24:00,3,2357.98,16,4,3,5,4-3-5,Potential Loyalists
12357,2010-11-16 14:29:00,2,7693.465,24,4,2,5,4-2-5,Potential Loyalists
12358,2010-11-29 10:56:00,3,1881.76,11,5,3,5,5-3-5,Potential Loyalists
12359,2010-10-10 11:16:00,6,2214.74,61,3,4,5,3-4-5,Loyal Customers
12360,2010-11-25 11:04:00,5,1319.19,15,5,4,4,5-4-4,Champions
12361,2010-09-03 15:19:00,3,302.3,98,2,3,2,2-3-2,About to Sleep
12362,2009-12-01 10:10:00,1,8.649999999999999,374,1,1,1,1-1-1,Hibernating
12366,2010-03-16 10:28:00,1,119.14499999999998,269,1,1,1,1-1-1,Hibernating
12368,2010-03-21 15:56:00,1,779.375,264,1,1,3,1-1-3,Lost
12369,2010-10-22 13:13:00,3,1441.075,49,3,3,4,3-3-4,Potential Loyalists
12370,2010-03-25 12:10:00,3,578.72,260,1,3,3,1-3-3,At Risk
12371,2010-10-26 13:37:00,3,1890.6100000000001,45,3,3,5,3-3-5,Potential Loyalists
12373,2010-03-25 13:49:00,2,633.65,260,1,2,3,1-2-3,Other
12374,2010-10-14 13:31:00,3,1896.895,57,3,3,5,3-3-5,Potential Loyalists
12376,2010-11-15 12:15:00,2,275.97499999999997,25,4,2,2,4-2-2,Potential Loyalists
12377,2010-11-23 19:24:00,2,1582.155,17,4,2,4,4-2-4,Potential Loyalists
12378,2010-05-26 14:07:00,1,1284.945,198,1,1,4,1-1-4,Lost
12379,2010-10-13 14:46:00,2,730.915,58,3,2,3,3-2-3,Potential Loyalists
12380,2010-08-31 14:54:00,7,4497.28,101,2,5,5,2-5-5,Loyal Customers
12385,2010-11-25 15:14:00,1,1748.05,15,5,1,4,5-1-4,Recent Customers
12386,2010-12-08 09:53:00,1,222.91000000000003,2,5,1,2,5-1-2,Recent Customers
12387,2010-10-20 16:27:00,1,126.70999999999998,51,3,1,1,3-1-1,Promising
12388,2010-09-20 12:41:00,2,1102.165,81,2,2,4,2-2-4,About to Sleep
12389,2010-11-02 11:52:00,3,1321.15,38,3,3,4,3-3-4,Potential Loyalists
12391,2010-09-01 12:38:00,5,1899.1399999999999,100,2,4,5,2-4-5,Loyal Customers
12392,2010-04-27 14:04:00,1,228.6,227,1,1,2,1-1-2,Hibernating
12393,2010-11-22 16:10:00,2,786.55,18,4,2,3,4-2-3,Potential Loyalists
12395,2010-12-03 16:35:00,4,1728.985,7,5,4,4,5-4-4,Champions
12396,2010-02-03 13:22:00,1,926.205,310,1,1,4,1-1-4,Lost
12399,2010-11-19 08:53:00,3,703.64,21,4,3,3,4-3-3,Potential Loyalists
12400,2010-10-21 13:45:00,1,204.825,50,3,1,1,3-1-1,Promising
12402,2010-11-12 09:50:00,5,989.1,28,4,4,4,4-4-4,Champions
12403,2010-07-06 11:39:00,1,244.13,157,2,1,2,2-1-2,Hibernating
12404,2010-01-26 16:25:00,1,8.649999999999999,318,1,1,1,1-1-1,Hibernating
12406,2010-11-05 11:42:00,3,2324.35,35,4,3,5,4-3-5,Potential Loyalists
12408,2010-11-19 13:21:00,3,1124.385,21,4,3,4,4-3-4,Potential Loyalists
12409,2010-10-15 10:24:00,4,6839.62,56,3,4,5,3-4-5,Loyal Customers
12410,2010-07-25 13:26:00,1,257.47,138,2,1,2,2-1-2,Hibernating
12411,2010-10-26 09:25:00,1,339.1,45,3,1,2,3-1-2,Promising
12412,2010-11-02 17:02:00,3,1202.675,38,3,3,4,3-3-4,Potential Loyalists
12413,2010-11-02 13:26:00,1,192.04999999999998,38,3,1,1,3-1-1,Promising
12414,2010-09-02 13:47:00,3,109.13999999999999,99,2,3,1,2-3-1,About to Sleep
12415,2010-11-29 15:07:00,7,7791.655,11,5,5,5,5-5-5,Champions
12416,2010-02-21 10:19:00,1,202.56,292,1,1,1,1-1-1,Hibernating
12417,2010-10-25 14:27:00,11,2739.915,46,3,5,5,3-5-5,Loyal Customers
12418,2010-10-22 10:29:00,3,1334.87,49,3,3,4,3-3-4,Potential Loyalists
12419,2010-11-19 10:04:00,2,395.315,21,4,2,2,4-2-2,Potential Loyalists
12421,2010-10-20 14:28:00,2,244.35,51,3,2,2,3-2-2,Potential Loyalists
12422,2010-11-10 13:19:00,14,2312.255,30,4,5,5,4-5-5,Champions
12423,2010-11-17 11:33:00,2,709.055,23,4,2,3,4-2-3,Potential Loyalists
12424,2010-10-13 10:29:00,2,1333.615,58,3,2,4,3-2-4,Potential Loyalists
12425,2010-09-17 14:10:00,1,941.585,84,2,1,4,2-1-4,Other
12426,2010-02-15 08:41:00,1,724.87,298,1,1,3,1-1-3,Lost
12427,2010-12-03 10:44:00,1,275.45,7,5,1,2,5-1-2,Recent Customers
12429,2010-12-09 12:05:00,5,2759.37,1,5,4,5,5-4-5,Champions
12431,2010-12-01 10:03:00,13,3883.975,9,5,5,5,5-5-5,Champions
12433,2010-12-08 16:49:00,5,6067.74,2,5,4,5,5-4-5,Champions
12434,2010-11-23 13:38:00,1,295.99,17,4,1,2,4-1-2,Recent Customers
12435,2010-11-08 10:07:00,4,3500.685,32,4,4,5,4-4-5,Champions
12437,2010-11-09 14:46:00,21,6879.005,31,4,5,5,4-5-5,Champions
12439,2010-01-26 12:11:00,2,1132.455,318,1,2,4,1-2-4,Other
12440,2010-09-03 13:11:00,2,759.9499999999999,98,2,2,3,2-2-3,About to Sleep
12441,2010-12-08 10:45:00,1,162.31,2,5,1,1,5-1-1,Recent Customers
12443,2009-12-07 15:42:00,1,362.67,368,1,1,2,1-1-2,Hibernating
